parcel_ref,bienes_superficie,bienes_sin_v,bienes_fantasma,m2_recuperados,m2_fantasma
2952405VK4725D,1,0,0,408,0
3356804VK4735E,1,0,0,534,0
3153317VK4735C,1,0,0,225,0
3750205VK4735B,1,0,0,1,0
3750606VK4735B,1,0,0,6,0
3750612VK4735B,1,0,0,30,0
3752901VK4735D,3,0,0,124,0
3752964VK4735D,1,0,0,265,0
3554609VK4735D,1,0,0,152,0
3653904VK4735D,1,0,0,54,0
3449905VK4734G,1,0,0,23,0
3450916VK4735A,0,0,1,0,74
3965952VK4736F,1,0,0,105,0
3563509VK4736D,1,0,0,30,0
3360632VK4736A,1,0,0,51,0
3663401VK4736D,1,0,0,44,0
3363613VK4736C,1,0,0,47,0
2758908VK4725H,1,0,0,394,0
2758909VK4725H,1,0,0,681,0
2764503VK4726D,1,0,0,90,0
2764510VK4726D,1,0,0,213,0
2561105VK4726B,1,0,0,311,0
2959217VK4725H,0,0,1,0,40
2566606VK4726F,0,1,0,91,0
2659418VK4725H,1,0,0,7,0
2362312VK4726C,1,0,0,7,0
2463310VK4726C,1,0,0,5,0
2064113VK4726C,1,0,0,14,0
2260701VK4726A,1,0,0,1097,0
1879108VK4717H,1,0,0,11,0
2177108VK4727E,1,0,0,26,0
2177123VK4727E,1,0,0,29,0
2178101VK4727G,1,0,0,19,0
2178104VK4727G,1,0,0,46,0
2375223VK4727E,1,0,0,5,0
2379202VK4727G,1,0,0,6,0
1881607VK4718B,1,0,0,65,0
2180903VK4728A,1,0,0,241,0
2180909VK4728A,1,0,0,3,0
2181608VK4728A,1,0,0,11,0
2379225VK4727G,1,0,0,69,0
2379228VK4727G,1,0,0,18,0
2379231VK4727G,1,0,0,8,0
2380102VK4728A,1,0,0,16,0
2380410VK4728A,1,0,0,12,0
2182903VK4728C,1,0,0,17,0
1970604VK4717B,1,0,0,9,0
1978104VK4717H,1,0,0,15,0
1978110VK4717H,1,0,0,29,0
1978111VK4717H,1,0,0,188,0
2467404VK4726G,2,0,0,36,0
2472103VK4727C,0,0,2,0,86
2472116VK4727C,1,0,0,116,0
1980416VK4718B,1,0,0,3,0
1980426VK4718B,1,0,0,16,0
2473507VK4727C,1,0,0,150,0
2474214VK4727C,1,0,0,350,0
2280903VK4728A,1,0,0,19,0
2280906VK4728A,1,0,0,30,0
2476701VK4727E,1,0,0,16,0
1674903VK4717D,1,0,0,13,0
2477505VK4727G,1,0,0,12,0
2071402VK4727A,1,0,0,22,0
2071409VK4727A,1,0,0,26,0
1682507VK4718D,1,0,0,34,0
2077210VK4727G,1,0,0,37,0
2078201VK4727G,1,0,0,14,0
2078211VK4727G,1,0,0,21,0
1774908VK4717D,1,0,0,12,0
2079516VK4727G,1,0,0,10,0
2082603VK4728A,1,0,0,16,0
2371406VK4727A,1,0,0,108,0
2374210VK4727E,1,0,0,11,0
2576805VK4727F,1,0,0,14,0
1874610VK4717F,1,0,0,30,0
1876801VK4717F,1,0,0,35,0
2170119VK4727A,1,0,0,29,0
2173103VK4727C,2,0,0,44,0
2173110VK4727C,2,0,0,24,0
2168912VK4726G,1,0,0,10,0
1876811VK4717F,1,0,0,9,0
1673907VK5717D,1,0,0,24,0
2079525VK4727G,1,0,0,121,0
2175804VK4727E,1,0,0,30,0
2170121VK4727A,1,0,0,5,0
3780320VK4738B,1,0,0,31,0
2673601VK4727D,1,0,0,155,0
2874202VK4727D,1,0,0,43,0
3581616VK4738B,1,0,0,28,0
2880712VK4728B,1,0,0,66,0
3181203VK4738A,1,0,0,7,0
3381908VK4738A,1,0,0,15,0
2978206VK4727H,1,0,0,181,0
3182519VK4738C,1,0,0,9,0
2775808VK4727D,1,0,0,208,0
3183104VK4738C,1,0,0,1,0
3183108VK4738C,1,0,0,1,0
3482504VK4738C,1,0,0,138,0
3482514VK3738C,1,0,0,7,0
3081129VK4738A,1,0,0,15,0
3381912VK4738A,1,0,0,17,0
2485902VK4728E,1,0,0,135,0
3083503VK4738C,1,0,0,17,0
3488108VK3738G,1,0,0,3,0
3585403VK4738F,1,0,0,14,0
3585417VK4738F,1,0,0,22,0
3585420VK4738F,1,0,0,27,0
3585421VK4738F,1,0,0,7,0
3588707VK4738H,1,0,0,22,0
3685306VK4738F,1,0,0,1,0
3386305VK4738E,1,0,0,4,0
3686609VK4738F,1,0,0,15,0
3687904VK4738H,1,0,0,10,0
3688710VK4738H,1,0,0,34,0
3688711VK4738H,1,0,0,3,0
3690302VK4739B,1,0,0,34,0
3690311VK4739B,1,0,0,14,0
3789310VK4738H,1,0,0,31,0
3789323VK4738H,1,0,0,10,0
3487106VK4738E,1,0,0,22,0
2089519VK4728G,1,0,0,19,0
2089521VK4728G,1,0,0,28,0
3487101VK4738E,1,0,0,10,0
3585422VK4738F,1,0,0,19,0
2089526VK4728G,1,0,0,18,0
2289208VK4728G,4,0,0,48,0
2592209VK4729D,1,0,0,6,0
2593609VK4729D,1,0,0,13,0
2593612VK4729D,1,0,0,21,0
2197102VK4729G,1,0,0,19,0
2199209VK4729G,1,0,0,7,0
2694519VK4729F,1,0,0,13,0
2697402VK4729H,1,0,0,35,0
3098909VK4739G,1,0,0,29,0
2897602VK4729H,1,0,0,14,0
2292702VK4729C,1,0,0,36,0
2292708VK4729A,1,0,0,77,0
2297813VK4729E,1,0,0,25,0
2299719VK4729G,1,0,0,70,0
2299756VK4729G,1,0,0,23,0
2498901VK4729G,3,0,0,79,0
1795910VK4719D,1,0,0,500,0
2098311VK4729G,1,0,0,20,0
3095202VK4739E,1,0,0,16,0
3095208VK4739E,1,0,0,9,0
3097714VK4739E,1,0,0,24,0
3097743VK4739G,2,0,0,28,0
2993907VK4729D,1,0,0,10,0
2997707VK4729F,1,0,0,49,0
2997720VK4729F,1,0,0,10,0
2997721VK4729F,1,0,0,1,0
3393603VK4739C,0,0,1,0,374
2793209VK4729D,1,0,0,13,0
2197117VK4729E,1,0,0,21,0
2799109VK4729H,6,0,0,129,0
3298920VK4739G,1,0,0,18,0
3097746VK4729F,1,0,0,21,0
3094413VK4739C,1,0,0,11,0
2201506VK4820A,1,0,0,45,0
2301208VK4820A,1,0,0,11,0
2503916VK4820A,1,0,0,15,0
2302209VK4820A,1,0,0,7,0
2302911VK4820C,1,0,0,14,0
2303312VK4820C,1,0,0,18,0
2116802VK4821E,0,0,1,0,799
2500504VK3720B,1,0,0,11,0
2503952VK4820A,1,0,0,34,0
9987405VK3798H,1,0,0,2,0
0188906VK4708G,1,0,0,542,0
0382201VK4708C,1,0,0,168,0
0386535VK4708E,1,0,0,184,0
0379910VK4707G,1,0,0,40,0
0083502VK4708C,1,0,0,53,0
1387306VK4718G,1,0,0,195,0
0583501VK4708D,0,0,1,0,139
0878401VK4707H,1,0,0,209,0
1297110VK4719E,1,0,0,83,0
1095509VK4719E,1,0,0,108,0
1390112VK4719A,1,0,0,635,0
1297123VK4719E,0,0,1,0,387
1503203VK3810D,1,0,0,67,0
1304623VK4810C,1,0,0,56,0
0696227VK4709F,0,0,6,0,200
0799916VK4709H,1,0,0,72,0
0800112VK4800B,1,0,0,55,0
0802205VK3800D,1,0,0,22,0
0802205VK4800B,1,0,0,32,0
0802209VK3800D,1,0,0,22,0
0797716VK4709F,1,0,0,1302,0
0897306VK4709H,1,0,0,17,0
0896809VK4709F,1,0,0,109,0
0600802VK4800B,1,0,0,136,0
0199455VK4709G,0,0,1,0,6875
0396913VK4709E,1,0,0,114,0
0396918VK4709E,1,0,0,150,0
0394517VK4709C,1,0,0,40,0
0693609VK4709D,1,0,0,58,0
0892301VK4709D,1,0,0,700,0
0892310VK4709D,1,0,0,45,0
0892309VK4709D,1,0,0,262,0
0691110VK4709B,1,0,0,46,0
0489406VK4708G,1,0,0,394,0
0489413VK4708G,1,0,0,81,0
0488625VK4708H,1,0,0,11,0
0487303VK4708G,1,0,0,32,0
0191519VK4709A,1,0,0,24,0
0486509VK4708E,1,0,0,48,0
9565503VK3796F,1,0,0,363,0
9465504VK3796E,1,0,0,28,0
0167609VK4706G,1,0,0,82,0
0167624VK4706E,1,0,0,137,0
9963914VK3796D,1,0,0,32,0
9964904VK3796D,0,0,1,0,98
0065605VK4706E,1,0,0,145,0
0563713VK4706D,1,0,0,352,0
0566617VK4706F,1,0,0,373,0
0665115VK4706F,1,0,0,31,0
0665118VK4706F,1,0,0,49,0
0361602VK4706A,1,0,0,358,0
0458407VK4705G,1,0,0,2058,0
0560114VK4706B,1,0,0,124,0
1057208VK4715E,1,0,0,770,0
0763707VK4706D,1,0,0,51,0
0765814VK4706F,1,0,0,490,0
0858106VK4705H,1,0,0,365,0
0561504VK4706B,1,0,0,29,0
0762903VK4706B,1,0,0,170,0
0868106VK4706H,1,0,0,38,0
1355311VK4715E,1,0,0,2,0
1356308VK4715E,1,0,0,926,0
0966709VK4706F,1,0,0,464,0
1457414VK4715G,1,0,0,1882,0
1460204VK4716A,3,0,0,25,0
1561303VK4716B,1,0,0,1873,0
1563807VK4716D,1,0,0,1510,0
1165105VK4716E,1,0,0,185,0
1166111VK4716E,1,0,0,226,0
1256308VK4715E,1,0,0,1909,0
1256309VK4715E,1,0,0,176,0
0866906VK4706F,1,0,0,103,0
1061911VK4716A,1,0,0,27,0
0870602VK4707B,1,0,0,286,0
0969705VK4706H,1,0,0,340,0
0070306VK4707A,0,1,0,0,0
0171805VK4707A,0,0,2,0,91
0171810VK4707A,1,0,0,35,0
0177609VK5607G,1,0,0,4,0
0270505VK4707A,0,0,1,0,327
9969519VK3796H,1,0,0,28,0
9175507VK3797E,1,0,0,35,0
9773719VK3797D,1,0,0,18,0
9773725VK3797D,1,0,0,40,0
9371118VK3797A,1,0,0,511,0
9472805VK3797A,10,0,0,86,0
0169301VK4706G,1,0,0,174,0
4461103VK3846A,1,0,0,901,0
3673711VK3837B,1,0,0,33,0
3873511VK3837D,1,0,0,68,0
3873516VK3837D,1,0,0,49,0
3873517VK3837D,1,0,0,72,0
4073801VK3847C,1,0,0,9,0
6811320VK3861B,1,0,0,35,0
6512507VK3861C,1,0,0,50,0
7316101VK3871E,1,0,0,38,0
7316133VK3861D,1,0,0,68,0
7315801VK3871C,1,0,0,47,0
7315810VK3871E,1,0,0,39,0
7315807VK3871E,1,0,0,20,0
7315806VK3871E,1,0,0,30,0
7315811VK3871E,1,0,0,64,0
7315813VK3871C,1,0,0,28,0
7315814VK3871C,1,0,0,108,0
7313320VK3861D,1,0,0,81,0
7313304VK3871C,1,0,0,54,0
7313305VK3871C,1,0,0,62,0
7011404VK3861E,1,0,0,94,0
6810102VK3861B,1,0,0,38,0
6810112VK3861B,1,0,0,37,0
7011426VK3861B,1,0,0,50,0
6811313VK3861B,1,0,0,72,0
6510517VK3861B,1,0,0,51,0
8214209VK3881C,1,0,0,15,0
8113321VK3881C,1,0,0,2,0
8113318VK3881C,1,0,0,18,0
7912201VK3871D,1,0,0,30,0
7812913VK3871D,1,0,0,22,0
7710212VK3871B,1,0,0,2,0
76135A3VK3871D,1,0,0,19,0
76135A0VK3871D,1,0,0,12,0
8214626VK3881C,1,0,0,17,0
8315914VK3881E,1,0,0,14,0
7711911VK3871B,1,0,0,1,0
8416751VK3881E,1,0,0,20,0
8416754VK3881E,1,0,0,20,0
8416763VK3881E,1,0,0,17,0
8214111VK3881C,1,0,0,1,0
8416778VK3881E,1,0,0,21,0
8211936VK3881A,5,0,0,45,0
8108434VK3880G,9,0,0,13,0
8714713VK3881D,1,0,0,1,0
7816115VK3871F,1,0,0,64,0
7816121VK3871F,1,0,0,10,0
7816125VK3871F,1,0,0,22,0
8010319VK3881A,1,0,0,13,0
8010325VK3881A,1,0,0,45,0
7909508VK3870H,1,0,0,14,0
7909513VK3870H,1,0,0,31,0
7909514VK3870H,1,0,0,30,0
7909519VK3870H,1,0,0,30,0
7812616VK3871D,1,0,0,6,0
7815523VK3871F,1,0,0,3,0
7815533VK3871F,1,0,0,35,0
7909808VK3870H,1,0,0,18,0
8008412VK3880G,1,0,0,28,0
7811308VK3871B,1,0,0,25,0
7912703VK3871S,1,0,0,22,0
7912711VK3871B,1,0,0,4,0
7912714VK3871S,1,0,0,13,0
8012907VK3881A,1,0,0,142,0
8012914VK3881A,1,0,0,6,0
8316308VK3881E,1,0,0,22,0
8011709VK3881A,1,0,0,28,0
8010727VK3881A,1,0,0,4,0
8214102VK3881C,1,0,0,37,0
7712914VK3871D,1,0,0,15,0
7712916VK3871D,1,0,0,28,0
8111615VK3881A,1,0,0,9,0
8111617VK3881A,1,0,0,9,0
8111618VK3881A,1,0,0,9,0
8109403VK3880G,1,0,0,27,0
8108403VK3880G,1,0,0,5,0
8115701VK3881E,1,0,0,16,0
8216114VK3881E,1,0,0,18,0
8216102VK3881E,1,0,0,19,0
8108407VK3880G,1,0,0,1,0
